,name,latitude,longitude,date,time,temperature,wind_speed,wind_dir,humidity,visibility
154,Dioni,38.023,23.933,2019-05-20,600,18,7,270,48,10
155,Dioni,38.023,23.933,2019-05-20,900,23,8,45,35,10
156,Dioni,38.023,23.933,2019-05-20,1200,24,11,205,39,10
157,Dioni,38.023,23.933,2019-05-20,1500,25,13,180,43,10
158,Dioni,38.023,23.933,2019-05-20,1800,23,13,155,57,10
159,Dioni,38.023,23.933,2019-05-20,2100,20,10,155,67,10
160,Dioni,38.023,23.933,2019-05-21,0,19,6,45,68,10
161,Dioni,38.023,23.933,2019-05-21,300,18,8,315,68,10
162,Dioni,38.023,23.933,2019-05-21,600,20,8,270,49,10
163,Dioni,38.023,23.933,2019-05-21,900,24,8,270,39,10
164,Dioni,38.023,23.933,2019-05-21,1200,25,8,45,42,10
165,Dioni,38.023,23.933,2019-05-21,1500,25,15,225,44,10
166,Dioni,38.023,23.933,2019-05-21,1800,23,14,225,57,10
167,Dioni,38.023,23.933,2019-05-21,2100,22,10,45,45,10
168,Dioni,38.023,23.933,2019-05-22,0,21,10,315,45,10
169,Dioni,38.023,23.933,2019-05-22,300,18,9,315,46,10
170,Dioni,38.023,23.933,2019-05-22,600,18,8,315,36,10
171,Dioni,38.023,23.933,2019-05-22,900,24,7,270,33,10
172,Dioni,38.023,23.933,2019-05-22,1200,24,8,205,33,10
173,Dioni,38.023,23.933,2019-05-22,1500,24,10,155,32,10
174,Dioni,38.023,23.933,2019-05-22,1800,22,10,155,42,10
175,Dioni,38.023,23.933,2019-05-22,2100,20,7,205,47,10
176,Dioni,38.023,23.933,2019-05-23,0,20,9,205,53,10
177,Dioni,38.023,23.933,2019-05-23,300,19,7,225,54,10
178,Dioni,38.023,23.933,2019-05-23,600,20,5,270,47,10
179,Dioni,38.023,23.933,2019-05-23,900,25,5,270,38,10
180,Dioni,38.023,23.933,2019-05-23,1200,26,8,205,38,10
181,Dioni,38.023,23.933,2019-05-23,1500,26,12,155,39,10
182,Dioni,38.023,23.933,2019-05-23,1800,24,13,135,52,10
183,Dioni,38.023,23.933,2019-05-23,2100,19,9,155,62,10
184,Dioni,38.023,23.933,2019-05-24,0,18,10,270,59,7
185,Dioni,38.023,23.933,2019-05-24,300,17,13,315,68,10
186,Dioni,38.023,23.933,2019-05-24,600,17,10,315,58,10
187,Dioni,38.023,23.933,2019-05-24,900,21,14,315,45,10
188,Dioni,38.023,23.933,2019-05-24,1200,23,10,270,44,10
189,Dioni,38.023,23.933,2019-05-24,1500,23,6,45,43,10
190,Dioni,38.023,23.933,2019-05-24,1800,21,7,155,52,10
191,Dioni,38.023,23.933,2019-05-24,2100,20,10,205,61,10
192,Dioni,38.023,23.933,2019-05-25,0,18,8,45,67,10
193,Dioni,38.023,23.933,2019-05-25,300,17,9,270,73,10
194,Dioni,38.023,23.933,2019-05-25,600,18,8,315,59,10
195,Dioni,38.023,23.933,2019-05-25,900,23,6,270,48,10
196,Dioni,38.023,23.933,2019-05-25,1200,25,10,225,44,10
197,Dioni,38.023,23.933,2019-05-25,1500,25,13,180,41,10
198,Dioni,38.023,23.933,2019-05-25,1800,22,13,180,53,10
199,Dioni,38.023,23.933,2019-05-25,2100,21,8,180,60,10
200,Dioni,38.023,23.933,2019-05-26,0,19,5,205,63,10
201,Dioni,38.023,23.933,2019-05-26,300,18,4,45,67,10
202,Dioni,38.023,23.933,2019-05-26,600,20,3,205,51,10
203,Dioni,38.023,23.933,2019-05-26,900,26,5,90,40,10
204,Dioni,38.023,23.933,2019-05-26,1200,25,10,115,39,10
205,Dioni,38.023,23.933,2019-05-26,1500,26,14,155,38,10
206,Dioni,38.023,23.933,2019-05-26,1800,23,11,155,48,10
207,Dioni,38.023,23.933,2019-05-26,2100,22,4,155,54,10
208,Dioni,38.023,23.933,2019-05-27,0,21,4,135,59,10
209,Dioni,38.023,23.933,2019-05-27,300,19,3,25,58,10
210,Dioni,38.023,23.933,2019-05-27,600,20,5,45,46,10
211,Dioni,38.023,23.933,2019-05-27,900,23,7,45,38,10
212,Dioni,38.023,23.933,2019-05-27,1200,25,10,90,40,10
213,Dioni,38.023,23.933,2019-05-27,1500,26,12,135,42,10
