,name,latitude,longitude,date,time,temperature,wind_speed,wind_dir,humidity,visibility,fire
270,Anthousa,38.025,23.876,2019-06-03,1800,21,16,205,49,10,0
271,Anthousa,38.025,23.876,2019-06-03,2100,19,11,225,55,10,0
272,Anthousa,38.025,23.876,2019-06-04,0,20,11,270,60,10,0
273,Anthousa,38.025,23.876,2019-06-04,300,18,11,315,64,10,0
274,Anthousa,38.025,23.876,2019-06-04,600,19,8,315,54,10,0
275,Anthousa,38.025,23.876,2019-06-04,900,23,6,270,47,10,0
276,Anthousa,38.025,23.876,2019-06-04,1200,24,10,225,46,10,0
277,Anthousa,38.025,23.876,2019-06-04,1500,24,13,180,46,10,0
278,Anthousa,38.025,23.876,2019-06-04,1800,23,15,180,55,10,0
279,Anthousa,38.025,23.876,2019-06-04,2100,21,10,180,60,10,0
280,Anthousa,38.025,23.876,2019-06-05,0,20,6,180,65,10,0
281,Anthousa,38.025,23.876,2019-06-05,300,19,5,225,71,10,0
282,Anthousa,38.025,23.876,2019-06-05,600,19,4,45,59,10,0
283,Anthousa,38.025,23.876,2019-06-05,900,25,5,225,48,10,0
284,Anthousa,38.025,23.876,2019-06-05,1200,25,10,205,48,10,0
285,Anthousa,38.025,23.876,2019-06-05,1500,25,16,180,47,10,0
286,Anthousa,38.025,23.876,2019-06-05,1800,22,14,180,58,10,0
287,Anthousa,38.025,23.876,2019-06-05,2100,22,8,180,61,10,0
288,Anthousa,38.025,23.876,2019-06-06,0,21,5,225,64,10,0
289,Anthousa,38.025,23.876,2019-06-06,300,20,5,270,68,10,0
290,Anthousa,38.025,23.876,2019-06-06,600,20,6,315,55,10,0
291,Anthousa,38.025,23.876,2019-06-06,900,25,5,270,43,10,0
292,Anthousa,38.025,23.876,2019-06-06,1200,27,8,205,44,10,0
293,Anthousa,38.025,23.876,2019-06-06,1500,27,11,155,44,10,0
294,Anthousa,38.025,23.876,2019-06-06,1800,26,12,155,52,10,0
295,Anthousa,38.025,23.876,2019-06-06,2100,24,8,155,57,10,0
296,Anthousa,38.025,23.876,2019-06-07,0,22,6,225,60,10,0
297,Anthousa,38.025,23.876,2019-06-07,300,21,5,270,64,10,0
298,Anthousa,38.025,23.876,2019-06-07,600,23,7,335,51,10,0
299,Anthousa,38.025,23.876,2019-06-07,900,28,8,45,43,10,0
300,Anthousa,38.025,23.876,2019-06-07,1200,30,8,155,40,10,0
301,Anthousa,38.025,23.876,2019-06-07,1500,30,8,65,38,10,0
302,Anthousa,38.025,23.876,2019-06-07,1800,30,7,115,49,10,0
303,Anthousa,38.025,23.876,2019-06-07,2100,26,5,180,55,10,0
304,Anthousa,38.025,23.876,2019-06-08,0,24,4,270,53,10,0
305,Anthousa,38.025,23.876,2019-06-08,300,23,6,225,51,10,0
306,Anthousa,38.025,23.876,2019-06-08,600,24,9,360,42,10,0
307,Anthousa,38.025,23.876,2019-06-08,900,30,12,360,37,10,0
308,Anthousa,38.025,23.876,2019-06-08,1200,31,17,25,34,10,0
309,Anthousa,38.025,23.876,2019-06-08,1500,32,17,25,30,10,0
310,Anthousa,38.025,23.876,2019-06-08,1800,30,14,25,40,10,0
311,Anthousa,38.025,23.876,2019-06-08,2100,26,9,135,46,10,0
312,Anthousa,38.025,23.876,2019-06-09,0,25,8,360,46,10,0
313,Anthousa,38.025,23.876,2019-06-09,300,24,9,360,48,10,0
314,Anthousa,38.025,23.876,2019-06-09,600,25,11,360,43,10,0
315,Anthousa,38.025,23.876,2019-06-09,900,31,15,45,37,10,0
316,Anthousa,38.025,23.876,2019-06-09,1200,30,22,135,38,10,0
317,Anthousa,38.025,23.876,2019-06-09,1500,29,25,25,40,10,0
318,Anthousa,38.025,23.876,2019-06-09,1800,27,28,25,50,10,0
319,Anthousa,38.025,23.876,2019-06-09,2100,25,19,135,58,10,0
320,Anthousa,38.025,23.876,2019-06-10,0,24,17,360,67,10,0
321,Anthousa,38.025,23.876,2019-06-10,300,23,17,360,73,10,0
322,Anthousa,38.025,23.876,2019-06-10,600,23,17,225,60,10,0
323,Anthousa,38.025,23.876,2019-06-10,900,27,29,360,50,10,0
324,Anthousa,38.025,23.876,2019-06-10,1200,27,29,360,47,10,0
325,Anthousa,38.025,23.876,2019-06-10,1500,26,26,360,45,10,0
326,Anthousa,38.025,23.876,2019-06-10,1800,25,22,115,53,10,0
327,Anthousa,38.025,23.876,2019-06-10,2100,23,15,335,57,10,0
328,Anthousa,38.025,23.876,2019-06-11,0,23,10,335,60,10,0
329,Anthousa,38.025,23.876,2019-06-11,300,22,10,315,62,10,0
330,Anthousa,38.025,23.876,2019-06-11,600,23,9,335,56,10,0
331,Anthousa,38.025,23.876,2019-06-11,900,27,12,225,46,10,0
332,Anthousa,38.025,23.876,2019-06-11,1200,28,11,135,45,10,0
333,Anthousa,38.025,23.876,2019-06-11,1500,28,6,65,44,10,0
334,Anthousa,38.025,23.876,2019-06-11,1800,25,9,135,56,10,0
335,Anthousa,38.025,23.876,2019-06-11,2100,25,8,155,61,10,0
336,Anthousa,38.025,23.876,2019-06-12,0,23,6,225,63,10,0
337,Anthousa,38.025,23.876,2019-06-12,300,22,5,315,60,10,0
338,Anthousa,38.025,23.876,2019-06-12,600,23,6,315,48,10,0
339,Anthousa,38.025,23.876,2019-06-12,900,27,6,315,40,10,0
340,Anthousa,38.025,23.876,2019-06-12,1200,28,7,45,46,10,0
