name,latitude,longitude,date,time,temperature,wind_speed,wind_dir,humidity,visibility,fire
Marathonas,38.153,23.963,2014-01-20,1500,16,19,180,79,10,0
Marathonas,38.153,23.963,2014-01-20,1800,15,15,180,88,10,0
Marathonas,38.153,23.963,2014-01-20,2100,14,19,205,87,10,0
Marathonas,38.153,23.963,2014-01-21,0,12,18,205,88,10,0
Marathonas,38.153,23.963,2014-01-21,300,13,15,205,91,10,0
Marathonas,38.153,23.963,2014-01-21,600,13,14,225,89,10,0
Marathonas,38.153,23.963,2014-01-21,900,15,18,225,68,10,0
Marathonas,38.153,23.963,2014-01-21,1200,17,22,205,58,10,0
Marathonas,38.153,23.963,2014-01-21,1500,16,23,205,64,10,0
Marathonas,38.153,23.963,2014-01-21,1800,14,22,225,72,10,0
Marathonas,38.153,23.963,2014-01-21,2100,13,21,225,69,10,0
Marathonas,38.153,23.963,2014-01-22,0,12,15,45,67,10,0
Marathonas,38.153,23.963,2014-01-22,300,11,15,225,72,10,0
Marathonas,38.153,23.963,2014-01-22,600,10,12,45,76,10,0
Marathonas,38.153,23.963,2014-01-22,900,12,17,45,61,10,0
Marathonas,38.153,23.963,2014-01-22,1200,15,17,45,52,10,0
Marathonas,38.153,23.963,2014-01-22,1500,15,14,45,54,10,0
Marathonas,38.153,23.963,2014-01-22,1800,13,14,270,62,10,0
Marathonas,38.153,23.963,2014-01-22,2100,10,9,270,72,10,0
Marathonas,38.153,23.963,2014-01-23,0,10,12,270,78,10,0
Marathonas,38.153,23.963,2014-01-23,300,9,9,270,81,10,0
Marathonas,38.153,23.963,2014-01-23,600,9,9,315,81,10,0
Marathonas,38.153,23.963,2014-01-23,900,11,9,270,62,10,0
Marathonas,38.153,23.963,2014-01-23,1200,16,10,270,51,10,0
Marathonas,38.153,23.963,2014-01-23,1500,15,8,45,55,10,0
Marathonas,38.153,23.963,2014-01-23,1800,12,9,45,61,10,0
Marathonas,38.153,23.963,2014-01-23,2100,12,9,45,69,10,0
Marathonas,38.153,23.963,2014-01-24,0,11,8,270,76,10,0
Marathonas,38.153,23.963,2014-01-24,300,11,4,45,78,10,0
Marathonas,38.153,23.963,2014-01-24,600,10,3,315,78,10,0
Marathonas,38.153,23.963,2014-01-24,900,12,8,180,63,10,0
Marathonas,38.153,23.963,2014-01-24,1200,14,10,155,62,10,0
Marathonas,38.153,23.963,2014-01-24,1500,13,12,135,72,10,0
