name,latitude,longitude,date,time,temperature,wind_speed,wind_dir,humidity,visibility,fire
Kato Soulion,38.168,24.016,2014-01-22,600,6,10,225,76,10,0
Kato Soulion,38.168,24.016,2014-01-22,900,9,13,225,58,10,0
Kato Soulion,38.168,24.016,2014-01-22,1200,11,14,45,58,10,0
Kato Soulion,38.168,24.016,2014-01-22,1500,12,11,45,58,10,0
Kato Soulion,38.168,24.016,2014-01-22,1800,9,14,45,66,10,0
Kato Soulion,38.168,24.016,2014-01-22,2100,7,12,45,73,10,0
Kato Soulion,38.168,24.016,2014-01-23,0,6,13,45,80,10,0
Kato Soulion,38.168,24.016,2014-01-23,300,6,10,45,83,10,0
Kato Soulion,38.168,24.016,2014-01-23,600,5,8,270,84,10,0
Kato Soulion,38.168,24.016,2014-01-23,900,8,8,45,66,10,0
Kato Soulion,38.168,24.016,2014-01-23,1200,11,4,205,66,10,0
Kato Soulion,38.168,24.016,2014-01-23,1500,11,1,155,66,10,0
Kato Soulion,38.168,24.016,2014-01-23,1800,9,4,205,74,10,0
Kato Soulion,38.168,24.016,2014-01-23,2100,8,10,225,71,10,0
Kato Soulion,38.168,24.016,2014-01-24,0,7,10,45,76,10,0
Kato Soulion,38.168,24.016,2014-01-24,300,7,8,225,79,10,0
Kato Soulion,38.168,24.016,2014-01-24,600,7,5,225,79,10,0
Kato Soulion,38.168,24.016,2014-01-24,900,8,6,180,63,10,0
Kato Soulion,38.168,24.016,2014-01-24,1200,10,10,155,68,10,0
Kato Soulion,38.168,24.016,2014-01-24,1500,10,10,135,74,10,0
Kato Soulion,38.168,24.016,2014-01-24,1800,9,18,135,85,10,0
Kato Soulion,38.168,24.016,2014-01-24,2100,10,21,155,80,5,0
Kato Soulion,38.168,24.016,2014-01-25,0,10,20,155,88,10,0
Kato Soulion,38.168,24.016,2014-01-25,300,9,15,225,86,10,0
Kato Soulion,38.168,24.016,2014-01-25,600,8,17,205,72,10,0
Kato Soulion,38.168,24.016,2014-01-25,900,10,17,205,58,10,0
Kato Soulion,38.168,24.016,2014-01-25,1200,11,17,180,64,10,0
Kato Soulion,38.168,24.016,2014-01-25,1500,12,19,155,70,10,0
Kato Soulion,38.168,24.016,2014-01-25,1800,10,17,180,75,10,0
Kato Soulion,38.168,24.016,2014-01-25,2100,9,16,180,80,2,0
Kato Soulion,38.168,24.016,2014-01-26,0,8,9,155,80,10,0
Kato Soulion,38.168,24.016,2014-01-26,300,8,7,155,84,10,0
Kato Soulion,38.168,24.016,2014-01-26,600,7,14,335,91,10,0
Kato Soulion,38.168,24.016,2014-01-26,900,6,19,315,88,9,0
Kato Soulion,38.168,24.016,2014-01-26,1200,6,20,335,89,6,0
Kato Soulion,38.168,24.016,2014-01-26,1500,6,20,335,90,2,0
Kato Soulion,38.168,24.016,2014-01-26,1800,5,16,335,88,10,0
Kato Soulion,38.168,24.016,2014-01-26,2100,5,19,360,90,2,0
Kato Soulion,38.168,24.016,2014-01-27,0,4,16,335,89,10,0
Kato Soulion,38.168,24.016,2014-01-27,300,4,17,335,89,10,0
Kato Soulion,38.168,24.016,2014-01-27,600,3,12,335,88,10,0
Kato Soulion,38.168,24.016,2014-01-27,900,4,15,360,85,10,0
Kato Soulion,38.168,24.016,2014-01-27,1200,4,16,205,84,10,0
Kato Soulion,38.168,24.016,2014-01-27,1500,4,12,25,84,10,0
Kato Soulion,38.168,24.016,2014-01-27,1800,4,6,45,88,2,0
Kato Soulion,38.168,24.016,2014-01-27,2100,4,5,90,87,10,0
Kato Soulion,38.168,24.016,2014-01-28,0,4,3,155,87,10,0
Kato Soulion,38.168,24.016,2014-01-28,300,4,7,135,85,10,0
Kato Soulion,38.168,24.016,2014-01-28,600,5,11,135,89,10,0
Kato Soulion,38.168,24.016,2014-01-28,900,7,10,155,82,9,0
Kato Soulion,38.168,24.016,2014-01-28,1200,7,9,90,85,6,0
Kato Soulion,38.168,24.016,2014-01-28,1500,7,8,25,89,2,0
Kato Soulion,38.168,24.016,2014-01-28,1800,7,2,335,92,10,0
Kato Soulion,38.168,24.016,2014-01-28,2100,7,8,315,91,10,0
Kato Soulion,38.168,24.016,2014-01-29,0,6,12,315,91,10,0
Kato Soulion,38.168,24.016,2014-01-29,300,6,14,270,85,10,0
Kato Soulion,38.168,24.016,2014-01-29,600,5,13,315,86,10,0
Kato Soulion,38.168,24.016,2014-01-29,900,7,11,45,64,10,0
Kato Soulion,38.168,24.016,2014-01-29,1200,9,16,45,58,10,0
Kato Soulion,38.168,24.016,2014-01-29,1500,11,17,45,52,10,0
Kato Soulion,38.168,24.016,2014-01-29,1800,8,13,45,61,10,0
Kato Soulion,38.168,24.016,2014-01-29,2100,6,10,270,74,10,0
Kato Soulion,38.168,24.016,2014-01-30,0,5,10,270,78,10,0
Kato Soulion,38.168,24.016,2014-01-30,300,5,4,315,81,10,0
Kato Soulion,38.168,24.016,2014-01-30,600,5,3,335,81,10,0
Kato Soulion,38.168,24.016,2014-01-30,900,8,5,90,59,10,0
Kato Soulion,38.168,24.016,2014-01-30,1200,10,9,90,61,10,0
Kato Soulion,38.168,24.016,2014-01-30,1500,11,9,90,64,10,0
Kato Soulion,38.168,24.016,2014-01-30,1800,9,11,90,73,10,0
Kato Soulion,38.168,24.016,2014-01-30,2100,8,12,90,75,10,0
Kato Soulion,38.168,24.016,2014-01-31,0,8,12,45,81,10,0
Kato Soulion,38.168,24.016,2014-01-31,300,7,10,45,87,10,0
Kato Soulion,38.168,24.016,2014-01-31,600,6,13,25,84,10,0
Kato Soulion,38.168,24.016,2014-01-31,900,7,12,25,77,10,0
Kato Soulion,38.168,24.016,2014-01-31,1200,7,14,360,77,10,0
Kato Soulion,38.168,24.016,2014-01-31,1500,7,21,360,77,10,0
Kato Soulion,38.168,24.016,2014-01-31,1800,6,15,25,80,10,0
Kato Soulion,38.168,24.016,2014-01-31,2100,6,15,25,81,10,0
Kato Soulion,38.168,24.016,2014-02-01,0,5,19,25,82,10,0
Kato Soulion,38.168,24.016,2014-02-01,300,5,20,360,83,10,0
Kato Soulion,38.168,24.016,2014-02-01,600,5,21,25,83,2,0
Kato Soulion,38.168,24.016,2014-02-01,900,5,22,360,78,10,0
Kato Soulion,38.168,24.016,2014-02-01,1200,6,22,360,79,10,0
Kato Soulion,38.168,24.016,2014-02-01,1500,6,22,360,80,10,0
Kato Soulion,38.168,24.016,2014-02-01,1800,6,19,25,81,10,0
Kato Soulion,38.168,24.016,2014-02-01,2100,6,20,25,83,10,0
Kato Soulion,38.168,24.016,2014-02-02,0,6,19,360,84,10,0
Kato Soulion,38.168,24.016,2014-02-02,300,6,19,360,83,10,0
Kato Soulion,38.168,24.016,2014-02-02,600,6,20,25,83,10,0
Kato Soulion,38.168,24.016,2014-02-02,900,6,17,25,80,10,0
Kato Soulion,38.168,24.016,2014-02-02,1200,7,19,360,78,10,0
Kato Soulion,38.168,24.016,2014-02-02,1500,7,22,360,76,10,0
Kato Soulion,38.168,24.016,2014-02-02,1800,7,18,25,76,10,0
Kato Soulion,38.168,24.016,2014-02-02,2100,7,21,25,78,10,0
Kato Soulion,38.168,24.016,2014-02-03,0,6,21,25,79,10,0
Kato Soulion,38.168,24.016,2014-02-03,300,6,23,25,79,10,0
Kato Soulion,38.168,24.016,2014-02-03,600,5,27,25,80,2,0
Kato Soulion,38.168,24.016,2014-02-03,900,5,28,25,78,2,0
Kato Soulion,38.168,24.016,2014-02-03,1200,6,29,25,76,6,0
Kato Soulion,38.168,24.016,2014-02-03,1500,6,29,25,75,10,0
Kato Soulion,38.168,24.016,2014-02-03,1800,6,25,25,74,10,0
Kato Soulion,38.168,24.016,2014-02-03,2100,5,20,25,76,10,0
Kato Soulion,38.168,24.016,2014-02-04,0,5,19,25,78,10,0
Kato Soulion,38.168,24.016,2014-02-04,300,5,14,25,77,10,0
Kato Soulion,38.168,24.016,2014-02-04,600,5,14,25,77,2,0
Kato Soulion,38.168,24.016,2014-02-04,900,6,15,25,73,10,0
Kato Soulion,38.168,24.016,2014-02-04,1200,6,18,360,75,10,0
Kato Soulion,38.168,24.016,2014-02-04,1500,6,17,360,77,10,0
